Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 43.72, -0.72,-1.62, 5590624, -.5,
ADBE, Adobe Systems Incorporated, 107.07, -0.9,-0.83, 2393808, -.4,
AKAM, Akamai Technologies Inc., 68.81, 1.11,1.64, 6585245, .2,
ALXN, Alexion Pharmaceuticals Inc., 131.37, 9.78,8.04, 4449486, 1.9,
GOOG, Alphabet Inc., 795.35, -3.72,-0.47, 2749221, -1.1,
GOOGL, Alphabet Inc., 817.35, -4.75,-0.58, 2973486, -1.2,
AMZN, Amazon.com Inc., 818.36, -4.23,-0.51, 7406385, -1.7,
AAL, American Airlines Group Inc., 39.91, 0.59,1.5, 6542022, .3,
AMGN, Amgen Inc., 160.57, 1.58,0.99, 3366867, 1.0,
ADI, Analog Devices Inc., 63.27, -0.17,-0.27, 2063879, -.1,
AAPL, Apple Inc., 114.48, -1.11,-0.96, 34562045, -5.2,
AMAT, Applied Materials Inc., 28.86, 0.01,0.03, 9128007, .0,
ADSK, Autodesk Inc., 70.58, -0.08,-0.11, 1213628, .0,
ADP, Automatic Data Processing Inc., 86.66, -0.53,-0.61, 1773701, -.2,
BIDU, Baidu Inc., 175.1, 2.28,1.32, 3593281, .5,
BBBY, Bed Bath &amp; Beyond Inc., 40.13, -0.44,-1.08, 1420892, -.1,
BIIB, Biogen Inc., 290.89, -5.57,-1.88, 1554338, -1.1,
BMRN, BioMarin Pharmaceutical Inc., 81.02, -0.73,-0.89, 1292010, -.1,
AVGO, Broadcom Limited, 172.24, -0.76,-0.44, 1984012, -.3,
CA, CA Inc., 32.07, -0.26,-0.8, 2539877, -.1,
CELG, Celgene Corporation, 104.72, 6.31,6.41, 11213821, 4.2,
CERN, Cerner Corporation, 57.76, -0.48,-0.82, 1484656, -.1,
CHTR, Charter Communications Inc., 244.1, -4.54,-1.83, 2875805, -1.1,
CHKP, Check Point Software Technologies Ltd., 79.05, 0.2,0.25, 1302168, .0,
CSCO, Cisco Systems Inc., 30.38, -0.17,-0.56, 16926192, -.7,
CTXS, Citrix Systems Inc., 83.36, -0.54,-0.64, 1061965, -.1,
CTSH, Cognizant Technology Solutions Corporation, 51.3, 0.43,0.85, 3780168, .2,
CMCSA, Comcast Corporation, 61.48, -1.08,-1.73, 22483856, -2.2,
COST, Costco Wholesale Corporation, 150.86, -0.12,-0.08, 1993467, -.1,
CSX, CSX Corporation, 30.31, -0.07,-0.23, 5938601, -.1,
CTRP, Ctrip.com International Ltd., 45.47, -1.22,-2.61, 5360111, -.4,
XRAY, DENTSPLY SIRONA Inc., 55.83, -0.02,-0.04, 1171251, .0,
DISCA, Discovery Communications Inc., 26.16, -0.28,-1.06, 2609262, .0,
DISCK, Discovery Communications Inc., 25.4, -0.26,-1.01, 987502, -.1,
DISH, DISH Network Corporation, 58.18, -0.05,-0.09, 1242373, .0,
DLTR, Dollar Tree Inc., 74.45, -2.35,-3.06, 2332991, -.5,
EBAY, eBay Inc., 28.81, -0.01,-0.03, 11797840, .0,
EA, Electronic Arts Inc., 82.72, 0.14,0.17, 3134192, .0,
EXPE, Expedia Inc., 126.42, 0.88,0.7, 4204722, .1,
ESRX, Express Scripts Holding Company, 69.23, -1.16,-1.65, 3486271, -.6,
FB, Facebook Inc., 129.69, -1.35,-1.03, 16741393, -2.7,
FAST, Fastenal Company, 38.45, -0.57,-1.46, 1246836, -.1,
FISV, Fiserv Inc., 96.75, -3.24,-3.24, 4544424, -.6,
GILD, Gilead Sciences Inc., 75.83, 0.45,0.6, 9596438, .5,
HSIC, Henry Schein Inc., 148.9, -0.06,-0.04, 744978, .0,
ILMN, Illumina Inc., 139.29, -0.66,-0.47, 1085814, -.1,
INCY, Incyte Corporation, 87.01, -0.24,-0.28, 1061925, .0,
INTC, Intel Corporation, 34.81, -0.11,-0.32, 14634685, -.5,
INTU, Intuit Inc., 107.31, -0.51,-0.47, 1245552, -.1,
ISRG, Intuitive Surgical Inc., 663.23, -2.49,-0.37, 325140, -.1,
JD, JD.com Inc., 25.88, -0.6,-2.27, 8753380, -.5,
LRCX, Lam Research Corporation, 96.7, -1.17,-1.2, 2327786, -.2,
LBTYA, Liberty Global plc, 31.76, -0.26,-0.81, 1390213, -.1,
LBTYK, Liberty Global plc, 31.13, -0.24,-0.77, 1747828, -.1,
LVNTA, Liberty Interactive Corporation, 39.25, -0.53,-1.33, 1025852, -.1,
QVCA, Liberty Interactive Corporation, 18.25, -0.3,-1.62, 2478474, -.1,
MAR, Marriott International, 66.92, 0.23,0.34, 2307480, .1,
MAT, Mattel Inc., 31.45, -0.53,-1.66, 3230601, -.2,
MXIM, Maxim Integrated Products Inc., 39.62, -0.28,-0.7, 1308667, -.1,
MCHP, Microchip Technology Incorporated, 60.36, -0.19,-0.31, 1613099, .0,
MU, Micron Technology Inc., 17.53, -0.11,-0.62, 21198258, -.1,
MSFT, Microsoft Corporation, 60.1, -0.53,-0.87, 28479856, -3.6,
MDLZ, Mondelez International Inc., 43.9, -0.42,-0.95, 7592214, -.6,
MNST, Monster Beverage Corporation, 143.3, -2.8,-1.92, 932661, -.5,
MYL, Mylan N.V., 38.02, -0.06,-0.16, 4523717, .0,
NTAP, NetApp Inc., 33.8, -0.2,-0.59, 2505516, -.1,
NTES, NetEase Inc., 267.05, 1.31,0.49, 1029391, .1,
NFLX, Netflix Inc., 126.47, -0.5,-0.39, 6914182, -.2,
NCLH, Norwegian Cruise Line Holdings Ltd., 35.71, -2.26,-5.95, 2748509, -.4,
NVDA, NVIDIA Corporation, 70.68, -1.48,-2.05, 9716622, -.7,
NXPI, NXP Semiconductors N.V., 99.08, 0.42,0.43, 36614100, .1,
ORLY, O'Reilly Automotive Inc., 253, -24.16,-8.72, 3364244, -2.0,
PCAR, PACCAR Inc., 55.28, 0.02,0.04, 2131217, .0,
PAYX, Paychex Inc., 55.25, -0.32,-0.58, 2317748, -.1,
PYPL, PayPal Holdings Inc., 41.69, -0.64,-1.51, 9434805, -.7,
QCOM, QUALCOMM Incorporated, 70.09, 1.89,2.77, 33941733, 2.4,
REGN, Regeneron Pharmaceuticals Inc., 365.35, 2.27,0.63, 500760, .2,
ROST, Ross Stores Inc., 62.31, -1.19,-1.87, 2236454, -.4,
SBAC, SBA Communications Corporation, 114.66, -0.6,-0.52, 798735, -.1,
STX, Seagate Technology PLC, 34.24, -0.6,-1.72, 6846022, -.2,
SHPG, Shire plc, 180.14, 1.19,0.66, 979317, .1,
SIRI, Sirius XM Holdings Inc., 4.11, -0.13,-3.07, 109791414, -.6,
SWKS, Skyworks Solutions Inc., 77.26, -0.28,-0.36, 1456226, -.1,
SBUX, Starbucks Corporation, 53.59, -0.04,-0.07, 7899957, -.1,
SRCL, Stericycle Inc., 73.96, -2.61,-3.41, 2135111, -.2,
SYMC, Symantec Corporation, 24.93, -0.1,-0.4, 7362806, -.1,
TMUS, T-Mobile US Inc., 49.5, 0,0, 4161665, .0,
TSLA, Tesla Motors Inc., 204.01, 1.77,0.88, 13093744, .2,
TXN, Texas Instruments Incorporated, 70.73, -0.98,-1.37, 9627039, -.9,
KHC, The Kraft Heinz Company, 87.69, -0.39,-0.44, 2127848, -.4,
PCLN, The Priceline Group Inc., 1463.02, -6.14,-0.42, 358821, -.3,
TSCO, Tractor Supply Company, 62.07, -1.1,-1.74, 1034260, -.1,
TRIP, TripAdvisor Inc., 61.85, 0.1,0.16, 1397034, .0,
FOX, Twenty-First Century Fox Inc., 26.24, -0.28,-1.06, 2319024, -.2,
FOXA, Twenty-First Century Fox Inc., 26.11, -0.29,-1.1, 9854552, -.3,
ULTA, Ulta Salon Cosmetics &amp; Fragrance Inc., 239.86, -6.06,-2.46, 813687, -.3,
VRSK, Verisk Analytics Inc., 81.25, -0.18,-0.22, 1232663, .0,
VRTX, Vertex Pharmaceuticals Incorporated, 75.84, -2.87,-3.65, 3540360, -.6,
VIAB, Viacom Inc., 37.72, -0.03,-0.08, 3003707, .0,
VOD, Vodafone Group Plc, 27.85, -0.11,-0.39, 3909956, .0,
WBA, Walgreens Boots Alliance Inc., 82.16, -0.14,-0.17, 2779828, -.1,
WDC, Western Digital Corporation, 59.58, 3.06,5.41, 15085521, .8,
WFM, Whole Foods Market Inc., 28.29, -0.14,-0.49, 2499115, .0,
XLNX, Xilinx Inc., 50.32, 0.03,0.06, 2851482, .0,
YHOO, Yahoo! Inc., 41.87, -0.21,-0.5, 7240848, -.2,
